time,pressure
0,0.101
0.005196132,0.628344371
0.008671713,0.982188972
0.011821984,1.246808313
0.014811184,1.450125708
0.017702674,1.608589212
0.020528939,1.733225817
0.023309182,1.831892674
0.026055766,1.910388111
0.028777114,1.973088109
0.031479197,2.023346117
0.034166369,2.063760181
0.036841874,2.096359344
0.039508171,2.122737906
0.042167142,2.144154425
0.044820248,2.161606042
0.047468626,2.175885069
0.050113171,2.187622515
0.052754588,2.197321869
0.055393435,2.205385488
0.058030157,2.212135316
0.060665107,2.217829233
0.063298566,2.222673989
0.065930762,2.226835468
0.068561875,2.230446855
0.07119205,2.233615147
0.073821404,2.236426344
0.076450031,2.238949606
0.079078005,2.24124057
0.081705388,2.243344017
0.084332229,2.245295998
0.086958568,2.247125551
0.089584436,2.24885607
0.092209859,2.250506409
0.094834858,2.252091768
0.097459451,2.253624404
0.100083651,2.255114204
0.10270747,2.256569146
0.105330916,2.257995667
0.107953997,2.259398966
0.110576721,2.260783239
0.11319909,2.262151879
0.115821111,2.263507622
0.118442786,2.264852684
0.121064118,2.266188854
0.12368511,2.267517577
0.126305765,2.268840025
0.128926083,2.270157143
0.131546066,2.271469698
0.134165717,2.272778309
0.136785035,2.274083478
0.139404023,2.27538561
0.142022681,2.276685036
0.14464101,2.277982021
0.147259011,2.279276781
0.149876685,2.28056949
0.152494032,2.281860291
0.155111054,2.283149298
0.15772775,2.284436604
0.160344122,2.285722285
0.16296017,2.287006401
0.165575895,2.288289002
0.168191297,2.289570128
0.170806377,2.290849812
0.173421136,2.292128079
0.176035574,2.293404951
0.178649692,2.294680445
0.181263489,2.295954575
0.183876968,2.297227352
0.186490128,2.298498784
0.18910297,2.29976888
0.191715494,2.301037644
0.194327702,2.302305082
0.196939593,2.303571197
0.199551168,2.304835991
0.202162428,2.306099468
0.204773373,2.307361628
0.207384003,2.308622473
0.20999432,2.309882004
0.212604324,2.311140221
0.215214015,2.312397125
0.217823394,2.313652717
0.220432461,2.314906996
0.223041217,2.316159962
0.225649663,2.317411615
0.228257799,2.318661955
0.230865625,2.319910982
0.233473142,2.321158696
0.236080351,2.322405095
0.238687252,2.32365018
0.241293845,2.32489395
0.243900132,2.326136404
0.246506112,2.327377543
0.249111787,2.328617366
0.251717156,2.329855872
0.254322221,2.331093061
0.256926981,2.332328932
0.259531438,2.333563485
0.262135591,2.334796719
0.264739442,2.336028633
0.26734299,2.337259228
0.269946237,2.338488503
0.272549183,2.339716456
0.275151828,2.340943088
0.277754173,2.342168398
0.280356219,2.343392386
0.282957965,2.34461505
0.285559413,2.345836391
0.288160563,2.347056408
0.290761416,2.3482751
0.293361971,2.349492467
0.29596223,2.350708508
0.298562193,2.351923222
0.30116186,2.35313661
0.303761232,2.354348671
0.30636031,2.355559404
0.308959094,2.356768808
0.311557585,2.357976883
0.314155783,2.359183629
0.316753688,2.360389045
0.319351301,2.36159313
0.321948623,2.362795884
0.324545654,2.363997307
0.327142394,2.365197397
0.329738845,2.366396155
0.332335006,2.367593579
0.334930878,2.36878967
0.337526462,2.369984427
0.340121758,2.371177849
0.342716766,2.372369936
0.345311487,2.373560687
0.347905923,2.374750101
0.350500072,2.375938179
0.353093935,2.377124919
0.355687514,2.378310322
0.358280808,2.379494386
0.360873819,2.380677111
0.363466546,2.381858497
0.366058989,2.383038543
0.368651151,2.384217249
0.37124303,2.385394613
0.373834628,2.386570636
0.376425945,2.387745317
0.379016982,2.388918656
0.381607738,2.390090652
0.384198215,2.391261304
0.386788413,2.392430613
0.389378332,2.393598576
0.391967973,2.394765195
0.394557337,2.395930469
0.397146423,2.397094396
0.399735233,2.398256977
0.402323767,2.399418211
0.404912025,2.400578097
0.407500008,2.401736635
0.410087716,2.402893825
0.41267515,2.404049666
0.41526231,2.405204158
0.417849197,2.406357299
0.420435811,2.40750909
0.423022153,2.40865953
0.425608223,2.409808619
0.428194022,2.410956356
0.430779549,2.41210274
0.433364807,2.413247771
0.435949795,2.414391449
0.438534513,2.415533773
0.441118962,2.416674743
0.443703142,2.417814358
0.446287055,2.418952617
0.4488707,2.420089521
0.451454078,2.421225068
0.45403719,2.422359259
0.456620035,2.423492092
0.459202615,2.424623568
0.461784929,2.425753685
0.464366979,2.426882444
0.466948764,2.428009843
0.469530286,2.429135883
0.472111544,2.430260562
0.47469254,2.431383881
0.477273273,2.432505839
0.479853744,2.433626436
0.482433954,2.43474567
0.485013903,2.435863542
0.487593591,2.436980051
0.490173019,2.438095196
0.492752188,2.439208978
0.495331098,2.440321395
0.497909748,2.441432447
0.500488141,2.442542134
0.503066276,2.443650455
0.505644153,2.44475741
0.508221774,2.445862999
0.510799138,2.44696722
